,pChEMBL,Canomicalsmiles
144,9.0,CCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCN(C(C)=O)CC3)cc2OC)ncc1Cl
145,9.0,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(OCCN3CCOCC3)cc2OC)ncc1Cl
146,9.0,COc1cc(N2CCN3COCC[C@H]3C2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1
147,9.0,CCCOc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NC)n1
148,9.0,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)CC(C)C)n1
149,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(OCCN3CCOCC3)ccc2OC)ncc1Br
150,9.0,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCCC(C(N)=O)C3)cc2OC)ncc1Cl
151,9.0,COc1c(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)NC(C)C)n2)ccc(N2CCOCC2)c1F
152,9.0,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC(OCCOC)CC3)cc2OC)ncc1Cl
153,9.0,COc1cc(CN2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C2CC2)n1
154,9.0,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCN(C(C)=O)CC3)cc2OC)ncc1Cl
155,9.0,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCN(C(C)=O)CC3)ccc2OC)ncc1Cl
156,9.0,COc1cc(N2CCC(C(N)=O)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1
157,9.0,CCC(CC)NS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl
158,9.0,CCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCCC(C(N)=O)C3)cc2OC)ncc1Cl
159,9.0,CCC(C)NS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2OC)ncc1Cl
160,9.0,CCC(CC)NS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC(NC)C3)cc2OC)ncc1Cl
161,9.0,COc1cc(N2CCC(NC(C)=O)C2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NC(C)C)n1
162,9.0,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(OC3CCN(C(C)C)C3)cc2OC)ncc1Cl
163,9.0,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCN4CCOC[C@H]4C3)cc2OC)ncc1Cl
164,9.0,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCN4CCOC[C@@H]4C3)cc2OC)ncc1Cl
165,9.0,COc1cc(N2CCC[C@H](C(N)=O)C2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1
166,9.0,COc1cc(N2CCC[C@@H](C(N)=O)C2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1
167,9.0,CC(C)NS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(OCCN3CCOCC3)cc2F)ncc1Cl
168,9.0,CCCS(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(OCCN3CCCC3=O)cc2OC)ncc1Cl
